Best Flat Segment Extraction Summary
========================================
Total files processed: 424
Files with flat segments: 157
Total best segments extracted: 157
Average RMS: 0.1602
Average flatness score: 0.9915
Best flatness score: 0.9994
Worst flatness score: 0.9302
Average candidates per file: 20842.8

Detailed Results:
T366_CC3.wav: t=0.32s, RMS=0.1165, Flatness=0.9955, Candidates=22050
T178_CC3.wav: t=0.39s, RMS=0.1378, Flatness=0.9935, Candidates=22050
T30_CC3.wav: t=0.00s, RMS=0.1373, Flatness=0.9932, Candidates=22050
T231_CC3.wav: t=0.14s, RMS=0.1020, Flatness=0.9994, Candidates=19434
T221_CC3.wav: t=0.50s, RMS=0.1092, Flatness=0.9973, Candidates=22050
T359_CC3.wav: t=0.03s, RMS=0.1257, Flatness=0.9949, Candidates=22050
T243_CC3.wav: t=0.00s, RMS=0.1273, Flatness=0.9944, Candidates=22050
T416_CC3.wav: t=0.38s, RMS=0.2010, Flatness=0.9859, Candidates=22050
T113_CC3.wav: t=0.49s, RMS=0.1939, Flatness=0.9880, Candidates=22050
T265_CC3.wav: t=0.21s, RMS=0.1139, Flatness=0.9953, Candidates=22050
T420_CC3.wav: t=0.10s, RMS=0.1989, Flatness=0.9860, Candidates=22050
T64_CC3.wav: t=0.50s, RMS=0.1139, Flatness=0.9956, Candidates=22050
T452_CC3.wav: t=0.50s, RMS=0.1474, Flatness=0.9920, Candidates=22050
T332_CC3.wav: t=0.37s, RMS=0.1258, Flatness=0.9946, Candidates=22050
T322_CC3.wav: t=0.33s, RMS=0.3239, Flatness=0.9754, Candidates=22050
T195_CC3.wav: t=0.02s, RMS=0.1619, Flatness=0.9947, Candidates=22050
T281_CC3.wav: t=0.49s, RMS=0.1985, Flatness=0.9851, Candidates=22050
T39_CC3.wav: t=0.00s, RMS=0.1561, Flatness=0.9922, Candidates=22050
T228_CC3.wav: t=0.38s, RMS=0.2005, Flatness=0.9897, Candidates=22050
T421_CC3.wav: t=0.50s, RMS=0.5079, Flatness=0.9302, Candidates=22050
T264_CC3.wav: t=0.00s, RMS=0.1904, Flatness=0.9978, Candidates=22050
T7_CC3.wav: t=0.15s, RMS=0.1635, Flatness=0.9906, Candidates=22050
T17_CC3.wav: t=0.50s, RMS=0.1348, Flatness=0.9967, Candidates=22050
T443_CC3.wav: t=0.50s, RMS=0.1074, Flatness=0.9972, Candidates=22050
T333_CC3.wav: t=0.10s, RMS=0.2310, Flatness=0.9963, Candidates=22050
T341_CC3.wav: t=0.19s, RMS=0.1130, Flatness=0.9956, Candidates=22050
T351_CC3.wav: t=0.50s, RMS=0.2217, Flatness=0.9908, Candidates=22050
T229_CC3.wav: t=0.39s, RMS=0.1202, Flatness=0.9967, Candidates=22050
T38_CC3.wav: t=0.50s, RMS=0.1240, Flatness=0.9943, Candidates=22050
T28_CC3.wav: t=0.50s, RMS=0.1005, Flatness=0.9987, Candidates=12283
T290_CC3.wav: t=0.35s, RMS=0.1272, Flatness=0.9949, Candidates=22050
T367_CC3.wav: t=0.02s, RMS=0.1568, Flatness=0.9897, Candidates=22050
T377_CC3.wav: t=0.13s, RMS=0.1268, Flatness=0.9947, Candidates=22050
T305_CC3.wav: t=0.28s, RMS=0.1069, Flatness=0.9960, Candidates=22050
T156_CC3.wav: t=0.00s, RMS=0.1844, Flatness=0.9883, Candidates=22050
T358_CC3.wav: t=0.31s, RMS=0.1036, Flatness=0.9965, Candidates=22050
T348_CC3.wav: t=0.50s, RMS=0.3106, Flatness=0.9722, Candidates=22050
T230_CC3.wav: t=0.00s, RMS=0.1591, Flatness=0.9927, Candidates=22050
T299_CC3.wav: t=0.49s, RMS=0.1847, Flatness=0.9902, Candidates=22050
T407_CC3.wav: t=0.17s, RMS=0.2329, Flatness=0.9898, Candidates=22050
T124_CC3.wav: t=0.03s, RMS=0.1172, Flatness=0.9950, Candidates=22050
T162_CC3.wav: t=0.21s, RMS=0.2095, Flatness=0.9853, Candidates=22050
T441_CC3.wav: t=0.16s, RMS=0.2961, Flatness=0.9805, Candidates=22050
T204_CC3.wav: t=0.19s, RMS=0.1037, Flatness=0.9932, Candidates=22050
T266_CC3.wav: t=0.00s, RMS=0.4144, Flatness=0.9624, Candidates=22050
T423_CC3.wav: t=0.17s, RMS=0.1071, Flatness=0.9960, Candidates=22050
T433_CC3.wav: t=0.50s, RMS=0.1338, Flatness=0.9946, Candidates=22050
T110_CC3.wav: t=0.19s, RMS=0.1153, Flatness=0.9965, Candidates=22050
T83_CC3.wav: t=0.14s, RMS=0.1080, Flatness=0.9962, Candidates=22050
T398_CC3.wav: t=0.50s, RMS=0.1636, Flatness=0.9913, Candidates=22050
T196_CC3.wav: t=0.50s, RMS=0.1471, Flatness=0.9922, Candidates=22050
T186_CC3.wav: t=0.50s, RMS=0.1126, Flatness=0.9955, Candidates=22050
T48_CC3.wav: t=0.15s, RMS=0.1160, Flatness=0.9964, Candidates=22050
T109_CC3.wav: t=0.00s, RMS=0.1118, Flatness=0.9960, Candidates=22050
T448_CC3.wav: t=0.09s, RMS=0.1672, Flatness=0.9923, Candidates=22050
T136_CC3.wav: t=0.30s, RMS=0.1433, Flatness=0.9930, Candidates=22050
T126_CC3.wav: t=0.49s, RMS=0.1439, Flatness=0.9968, Candidates=22050
T41_CC3.wav: t=0.28s, RMS=0.1252, Flatness=0.9951, Candidates=22050
T232_CC3.wav: t=0.00s, RMS=0.2062, Flatness=0.9858, Candidates=22050
T154_CC3.wav: t=0.50s, RMS=0.1436, Flatness=0.9965, Candidates=22050
T144_CC3.wav: t=0.50s, RMS=0.1371, Flatness=0.9973, Candidates=22050
T316_CC3.wav: t=0.04s, RMS=0.1671, Flatness=0.9908, Candidates=22050
T118_CC3.wav: t=0.00s, RMS=0.1107, Flatness=0.9965, Candidates=22050
T449_CC3.wav: t=0.33s, RMS=0.1062, Flatness=0.9967, Candidates=22050
T137_CC3.wav: t=0.30s, RMS=0.1080, Flatness=0.9961, Candidates=22050
T241_CC3.wav: t=0.06s, RMS=0.1006, Flatness=0.9960, Candidates=3389
T380_CC3.wav: t=0.35s, RMS=0.1889, Flatness=0.9881, Candidates=22050
T32_CC3.wav: t=0.00s, RMS=0.1223, Flatness=0.9927, Candidates=22050
T155_CC3.wav: t=0.20s, RMS=0.1552, Flatness=0.9926, Candidates=22050
T173_CC3.wav: t=0.49s, RMS=0.1781, Flatness=0.9920, Candidates=22050
T450_CC3.wav: t=0.43s, RMS=0.1000, Flatness=0.9968, Candidates=18900
T14_CC3.wav: t=0.00s, RMS=0.2193, Flatness=0.9901, Candidates=22050
T432_CC3.wav: t=0.03s, RMS=0.1000, Flatness=0.9963, Candidates=1468
T66_CC3.wav: t=0.23s, RMS=0.2316, Flatness=0.9831, Candidates=22050
T277_CC3.wav: t=0.49s, RMS=0.1756, Flatness=0.9827, Candidates=22050
T101_CC3.wav: t=0.50s, RMS=0.1082, Flatness=0.9951, Candidates=22050
T342_CC3.wav: t=0.24s, RMS=0.1000, Flatness=0.9960, Candidates=10650
T352_CC3.wav: t=0.41s, RMS=0.1420, Flatness=0.9972, Candidates=22050
T330_CC3.wav: t=0.50s, RMS=0.3718, Flatness=0.9653, Candidates=22050
T197_CC3.wav: t=0.14s, RMS=0.1397, Flatness=0.9930, Candidates=22050
T87_CC3.wav: t=0.36s, RMS=0.1194, Flatness=0.9950, Candidates=22050
T159_CC3.wav: t=0.46s, RMS=0.1955, Flatness=0.9911, Candidates=22050
T368_CC3.wav: t=0.00s, RMS=0.2578, Flatness=0.9840, Candidates=22050
T378_CC3.wav: t=0.37s, RMS=0.1499, Flatness=0.9926, Candidates=22050
T11_CC3.wav: t=0.39s, RMS=0.1000, Flatness=0.9970, Candidates=4801
T455_CC3.wav: t=0.04s, RMS=0.1411, Flatness=0.9931, Candidates=22050
T166_CC3.wav: t=0.00s, RMS=0.2061, Flatness=0.9879, Candidates=22050
T73_CC3.wav: t=0.31s, RMS=0.1959, Flatness=0.9896, Candidates=22050
T272_CC3.wav: t=0.33s, RMS=0.1947, Flatness=0.9903, Candidates=22050
T262_CC3.wav: t=0.50s, RMS=0.2862, Flatness=0.9820, Candidates=22050
